No,Titulo,Autor,Editorial,Idioma,ISBN13
312,El árbol de la ciencia de Baroja,"Beser, Sergio",Laia,es,9788472221505
313,Poesies escollides,"Carner, Josep",Edicions 62,ca,9788429714739
314,El sí de las niñas. La comedia nueva,"Fernández de Moratín, Leandro","Rueda J.M.S.A., ediciones",es,9788487507595
315,Drogas mentales. El desafío de la química a la psicoterapia,"Fernández de Velasco, Miguel Martín",Noguer,es,9788427931466
316,Blanca Olmedo,"Gamero de Medina, Lucila",,es,
317,Siete años de cárcel,"Gerard, Nicole",Grijalbo,es,9788425303685
318,El cónsul honorario,"Greene, Graham",MDS BOOKS/MEDIASAT,es,9788496142534
319,The firm,"Grisham, John",Corgi Transworld,en,9780440211457
320,Fue dicho: no desearás a la mujer de tu prójimo,"Hunter, Evan ",Círculo de Lectores,es,
321,El conde Lucanor,"Juan Manuel, Don",Edicomunicación,es,9788476726266
322,Yo soy fulana de tal,"Laiglesia, Álvaro de",Planeta,es,9788432063800
323,Doce lunas de miel,"Linares, Luisa María",Juventud,es,
324,Elogi de la paraula i altres assaigs,"Maragall, Joan",Edicions 62,ca,
325,La misa azul,"Marquina, Eduardo",Emiliano Escolar,es,9788473930826
326,Las cuatro plumas,"Mason, A. E. W.",Círculo de Lectores,es,
327,La casa de las dunas,"Meersch, M. van der","G. P., ediciones",es,
328,La mascarada,"Moravia, Alberto",Plaza & Janés,es,9788401440540
329,Carne apaleada,"Palou, Inés",Planeta,es,9788432053306
330,"Para sufrir menos, para sufrir mejor","Pederzini, Novello","Combonianas, ediciones",es,
331,Los tontos mueren,"Puzo, Mario",Grijalbo,es,9788425310799
332,Historia de la vida del Buscón llamado don Pablos,"Quevedo, Francisco de ","Rueda J.M.S.A., ediciones",es,9788487507700
333,Vidente en rebeldía,"Roig, Antonio",Planeta,es,9788432041440
334,Estudio sobre las libertades. 2ª edición,"Sánchez Ferriz, Remedio",Tirant lo blanch,es,9788480022989
335,Marcelino pan y vino y otras narraciones,"Sanchez-Silva, Jose Mª",Salvat,es,
336,Médicos en peligro,"Slaughter, Frank G.",Planeta,es,9788408002741
337,Con el corazón de otro,"Slaughter, Frank G.",Caralt,es,9788421742822
338,Sophie's choice,"Styron, William",Corgi Books,en,9780552116107
339,El perfume,"Süskind, Patrick",Planeta,es,9788408462125
340,A Number of Things,"Thornley, G. C.",Longman,en,9780582531710
341,La senda dorada,"Turnbull, Agnes Sligh",Cisne,es,
342,Las aventuras de Tom Sawyer,"Twain, Mark",El Mundo,es,9788481301496
343,Guerras privadas,"Ugarte, Pedro",NH Hoteles,es,
344,"Garzón, el hombre que veía amanecer","Urbano, Pilar",Plaza & Janés,es,9788401376511
345,Libros escogidos (biblioteca de Selecciones),"Varios (Victoria Holt, Francis Clifford, Winston M. Estes, Dr. Charles W. Mayo)",Selecciones del Reader's Digest,es,
346,Don Juan de Borbón,Varios,"Rueda J.M.S.A., ediciones",es,9788484470281
347,Grace Kelly,Varios,"Rueda J.M.S.A., ediciones",es,9788484470182
348,Bearn o La sala de las muñecas,"Villalonga, Lorenzo",Seix Barral,es,9788432220036
349,The president's child,"Weldon, Fay",Coronet,en,9780340339657
350,La lápida templaria,"Wilcox, Nicholas",Planeta,es,9788461122011
351,La colina de watership,"Adams, Richard",Círculo de Lectores,es,9788422607441
352,Las paredes oyen. La verdad sospechosa,"Alarcón, Juan Ruiz de",Planeta,es,9788432039522
353,Vincere il demonio con Gesù,"Amorth, Gabriele; Musolesi, Angela",Paoline,it,9788831545907
354,El rey Arturo y los Caballeros de la Tabla Redonda,"Mañé Garzón, Pablo","29, ediciones",es,9788471752734
355,Lieschen Radieschen,"Auer, Martin; Scheffler, Axel",Beltz & Gelberg,de,9783407741905
356,Cinco panes de cebada,"Baquedano, Lucia","SM, ediciones",es,9788434808751
357,El cáliz de Carlos V,"Bulnes, Miguel de",sicidea,es,9788461106059
358,Costumari valencià/2. Coses de poble,"Capó, Bernat","Bullent, ediciones",ca,9788486390785
359,Los inocentes de París,"Cesbron, Gilbert",Planeta,es,
360,La regenta I,"Clarín, Leopoldo Alas",Edicomunicacion,es,9788476725450
361,Tres aventuras de Sherlock Holmes,"Doyle, Arthur Conan",Lumen,es,9788426434098
362,Las iluminaciones del hermano Santiago,"Descola, Jean",Argos Vergara,es,9788470177743
363,Odessa,"Forsyth, Frederick",Plaza & Janés,es,9788401350894
364,Ser Joan Fuster,"Fuster, Joan",Edicions Bromera,es,9788476601037
365,Cantiga de agüero,"Gómez Ojea, Carmen","Destino, ediciones",es,9788423311774
366,La hija de Burger,"Gordimer, Nadine",Planeta,es,9788408462057
367,Tres años después,"Hoyos, Melchor",Joitor ediciones,es,9788440443922
368,El último verano,"Hunter, Evan",Caralt,es,9788421741375
369,De un pais lejano,"Ionescu, Angela C.",Doncel,es,9788432505713
370,Claves para un día de febrero,"Izquierdo, Antonio",Planeta,es,9788432041914
371,Cincuenta sombras de Grey,"James, E. L.",Grijalbo,es,9788425348839
372,Para lo bueno y para lo malo,"Jordan, Penny",Harlequin,es,
373,Capitanes intrépidos,"Kipling, R.",Vasco Americana,es,9788431903855
374,Eran diez,"Konsalik, Heinz G.",Plaza & Janés,es,9788401303333
375,Color de Fuego,"Kurtz, Carmen",Lumen,es,9788426434036
376,Carlota y el misterio de los gatos hipnotizados,"Lienas, Gemma",Planeta,es,9788408098577
377,De noche soy indiscreta,"Linares, Luisa María",Juventud,es,9788426105325
378,Fulanita y sus menganos,"Laiglesia, Álvaro de",Planeta,es,9788432021213
379,El último encuentro,"Márai, Sándor",Salamandra,es,9788478886012
380,Confieso que he vivido. Memorias,"Neruda, Pablo",Planeta,es,9788408462088
381,Was ist los mit meinem Bruder?,"Rauprich, Nina",Omnibus,de,9783570208793
382,Un juicio de piedra. Me parecía un demonio,"Rendell, Ruth",Mundo Actual,es,9788474542165
383,El Cardenal,"Robinson, Henry Morton",Planeta,es,9788432028038
384,El cazador de caballos,"Sandoz, Mari",José J. de Olañeta,es,9788476515297
385,Los tíos de sicilia,"Sciascia, Leonardo",Planeta,es,9788408461869
386,La comedia de las equivocaciones,"Shakespeare, William",Mestral libros,es,9788475752402
387,El amo del juego,"Sheldon, Sidney",Plaza & Janés,es,9788401360350
388,Nadie debería morir,"Slaughter, Frank G.",Círculo de Lectores,es,
389,El dilema del doctor Carter,"Slaughter, Frank G.",Caralt,es,9788421742723
390,Costa ardiente,"Smith, Wilbur",Círculo de Lectores,es,9788422627623
391,Experiencias,"Varios: Andrea Camilleri, Raymond Carver, Almudena Grandes, Grahan Greene y Primo Levi",Salamandra,es,
392,Archipiélago francés,Varios,La oveja roja,es,
393,Biblioteca de Selecciones,"Varios (J. H. Williams, William Faulkner, Henry Morton Robinson, David W, Peck, Eric Williams)",Selecciones del Reader's Digest,es,
394,La navaja,"Vázquez Azpiri, Héctor",Emiliano Escolar,es,9788473930970
395,Grandeza y servidumbre de 20 premios planeta,"Arce, Carlos de","Picazo, ediciones",es,
396,Madre de alquiler,"Ashley, Shelley V.",Círculo de Lectores,es,9788422635802
397,Ésta es mi cosecha,"Atkins, Lee",Planeta,es,
398,El reposo de Baco,"Boileau, Pierre",Círculo de Lectores,es,
399,Paloverde,"Briskin, Jacqueline",Plaza & Janés,es,9788401370809
400,El Ingenioso Hidalgo Don Quijote de la Mancha,"Cervantes Saavedra, Miguel de",Espasa-Calpe,es,
401,Desnuda por el mundo,"Chamales, Tom T.",Plaza & Janés,es,
402,La escapada,"Cordelier, Jeanne",Noguer,es,9788427938472
403,The Witches,"Dahl, Roald",Penguin,en,9780141322643
404,Regina,"Danella, Utta",Círculo de Lectores,es,
405,Retrato de la lozana andaluza,"Delicado, Francisco",Círculo de Amigos de la Historia,es,
406,Todos somos culpables,"Eaubonne, Françoise d'",Círculo de Lectores,es,
407,Genestel,"Estrade, Sebastian",Bruguera,es,
408,Olivia Joules and the oveactive imagination,"Fielding, Helen",Picador,en,9780330432740
409,Tom Jones,"Fielding, Henry",Mateu,es,
410,The Great Gatsby,"Fitzgerald, F. Scott",Penguin,en,9780141182636
411,El emperador,"Forsyth, Frederick",Plaza & Janés,es,9788401371202
412,Un millón de muertos,"Gironella, Jose Mª",Planeta,es,
413,La Ondina y otros cuentos,"Grimm, Jacob y Wilhelm",Compañía Europea de Comunicación e Información,es,9788479690366
414,Gestapo,"Hassel, Sven",Plaza & Janés,es,
415,Tan bueno como el oro,"Heller, Joseph",Bruguera,es,9788402074225
416,Ruy Blas,"Hugo, Victor","Rodegar, ediciones",es,
417,Tarántula. La bella y la bestia.,"Jonquet, Thierry",Círculo de Lectores,es,9788422625803
418,Duermen bajo las aguas,"Kurtz, Carmen",Círculo de Lectores,es,
419,Camila,"L'Engle, Madeleine",Alfaguara,es,9788420448008
420,El rizo,"Littell, Robert",Plaza & Janés,es,9788401351082
421,La tempestad,"Prada, Juan Manuel de",Planeta,es,9788408022947
422,La gangrena,"Salisachs, Mercedes",Planeta,es,9788432053429
423,Shibumi,Trevanian,Plaza & Janés,es,9788401812637
424,El moralista,"Trigo, Felipe",Emiliano Escolar,es,9788473931137
425,Selecciones de la narrativa mundial del Reader's Digest oct-nov,Varios,Selecciones del Reader's Digest,es,
426,El abogado del diablo,"West, Morris","G. P., ediciones",es,
427,Las hogueras,"Alós, Concha",Planeta,es,9788432000133
428,"El gran atraco a ""Brink's""","Behn, Noel",Plaza & Janés,es,9788401370328
429,Tiburón,"Benchley, Peter",Pomaire,es,9788428603997
430,La adoración,"Borel, Jacques",Plaza & Janés,es,
431,El arte de contar cuentos,"Byant, Sara C.",Biblária,es,9788489095045
432,El alcalde de Zalamea,"Calderón de la Barca, Pedro",Bruño,es,9788421616109
433,La familia de Pascual Duarte,"Cela, Camilo José","Destino, ediciones",es,9788423307326
434,El sueño eterno,"Chandler, Raymond",Planeta/Bruguera,es,9788432086106
435,Banco,"Charrière, Henri",Plaza & Janés,es,9788401350900
436,El amante,"Duras, Marguerite",Planeta,es,9788408462187
437,The complete book of rules,"Fein, Ellen y Schneider, Sherrie",Element,en,9780722539743
438,Los cipreses creen en Dios,"Gironella, Jose Mª",Planeta,es,
439,Lluvia de oro,"Grey, Zane",Juventud,es,
440,Raíces,"Haley, Alex",Mundo Actual,es,9788474540505
441,El clan,"Heras, Raul","Temas de Hoy, ediciones",es,9788478800438
442,Madre dulce,"Jolley, Elizabeth",Espasa-Calpe,es,9788423923540
443,Zanzibar,"Kaye, M. M.",Plaza & Janés,es,9788401360428
444,El rizo,"Littell, Robert",Plaza & Janés,es,9788401351082
445,La agenda de Ícaro,"Ludlum, Robert",Planeta,es,9788432040528
446,El enigma de parsifal,"Ludlum, Robert",Bruguera,es,9788402094070
447,GIAP o la guerra de un pueblo,"Quang, Gerard Le",DOPESA,es,9788472350922
448,Historia de la vida del Buscón,"Quevedo, Francisco de",Espasa-Calpe,es,9788423920242
449,Los aventureros,"Robbins, Harold",Círculo de Lectores,es,
450,Por ti lo haría mil veces,"Sartorius, Isabel",Martínez Roca ediciones,es,9788427038127
451,Críticas gastronómicas,Savarin,Prensa Española,es,
452,Los gozos y las sombras. III. La Pascua triste,"Torrente Ballester, Gonzalo",Alianza editorial,es,9788420690209
453,Las Leyes de Nuestros Padres I y II,"Turow, Scott",Plural,es,9788441313958
454,John Fitzgerald Kennedy,"Gasós Laviña, Dolors","Rueda J.M.S.A., ediciones",es,9788487507304
455,Aristóteles Onassis,Varios,"Rueda J.M.S.A., ediciones",es,9788484470267
456,Relatos de duendes,Varios,EDIMAT libros,es,9788497646314
457,Las sandalias del pescador,"West, Morris",Pomaire,es,
458,El alcalde de Zalamea,"Calderón de la Barca, Pedro",Espasa,es,
459,Coyote,"Barnes, Linda",Atlas,es,9789025401153
460,Charlie Chaplin,"Bazin, André; Rohmer, Eric",Fernando Torres,es,9788473660136
461,En busca del arca perdida de Noé,"Berlitz, Charles",Círculo de Lectores,es,
462,"¡Dios, la que se ármo!","Candel, Francisco",Bruguera,es,
463,El espía que surgió del frío,"Carre, John le",Bruguera,es,9788402071880
464,La chica del tambor,"Carre, John le",Planeta/Seix Barral,es,9788432065347
465,El licenciado vidriera y otras novelas ejemplares,"Cervantes Saavedra, Miguel de",Salvat,es,
466,Querida María Antonieta,"Chalon, Jean",Salvat,es,9788434591837
467,El comité para la prevención de la tortura,"Cruz Ros, Javier",Ebe ediçions,es,9788469968628
468,Robinson Crusoe II,"Defoe, Daniel",Planeta,es,
469,El desfile de la victoria,"Díaz-Plaja, Fernando",Argos Vergara,es,9788470173073
470,El paràsit,"Doyle, Arthur Conan",Tres i Quatre,cs,9788475022260
471,Tu también naciste desnudito,"Laiglesia, Álvaro de",Planeta,es,
472,Santiago Ramón y Cajal,"Leirós, Waldo","Urbión, ediciones",es,9788475231020
473,El ultimatum de Bourne,"Ludlum, Robert","B, ediciones",es,9788440627421
474,El ultimatum de Bourne,"Ludlum, Robert","B, ediciones",es,9788440627421
475,Kaputt,"Malaparte, Curzio","G. P., ediciones",es,
476,Celeste,"Marshall, Rosamond",Planeta,es,9788432011047
477,La rosa de arena,"Montherlant, Henry de",Seix Barral,es,9788432219092
478,Amapola entre espigas,"Noel, Eugenio",Emiliano Escolar,es,9788473930833
479,El retorno de los brujos,"Pauwels, Louis; Bergier, Jacques",Plaza & Janés,es,9788401410123
480,El retorno de los brujos,"Pauwels, Louis; Bergier, Jacques",Plaza & Janés,es,
481,Juan Carlos,"Preston, Paul",Plaza & Janés,es,9788401378249
482,Residuals o independents?,"Pujol, Jordi",Pórtic,ca,9788498091885
483,Aventura en los Andes,"Radau, Hanns",Noguer,es,9788427931046
484,Todos los parques no son un paraíso,"Roig, Antonio",Planeta,es,9788432041136
485,Un mundo a cuestas,"Rubio, Rodrigo",Editorial Prensa Española,es,
486,Las torres de silencio. Reparto de despojos,"Scott, Paul",Planeta/Seix Barral,es,9788432240096
487,El segrest de Xico Black,"Seguí, josep lluís",Gregal llibres,ca,9788475751306
488,En un jardin oscuro,"Slaughter, Frank G.",Planeta,es,
489,Der Zimmer-springbrunnen,"Sparschuh, Jens",btb,de,9783442720705
490,Una vez no basta,"Susann, Jacqueline",Mundo Actual,es,9788485224456
491,Los gozos y las sombras. I. El señor llega,"Torrente Ballester, Gonzalo",Alianza Editorial,es,9788420613086
492,Apache,"Wellman, Paul L.","G. P., ediciones",es,
493,Opus Dei,"Berglar, Peter",RIALP,es,9788432123832
494,Veinticuatro horas,"Bromfield, Louis",Planeta,es,
495,Los Secretos Mejor Guardados,"Brown, Sandra","B, ediciones",es,9788440625472
496,Mi tío,"Carriere, Jean Claude","G. P., ediciones",es,
497,El otro árbol de Guernica,"Castresana, Luis de",Círculo de Lectores,es,
498,Papillon,"Charrière, Henri",Plaza & Janés,es,9788401410017
499,El Ingenioso Hidalgo Don Quijote de la Mancha II,"Cervantes Saavedra, Miguel de",ABC,es,9788441320543
500,El Ingenioso Hidalgo Don Quijote de la Mancha,"Cervantes Saavedra, Miguel de",Empresa pública Don quijote,es,
501,Soy la madre,"Conde, Carmen",Planeta,es,9788432055317
502,El príncipe de las mareas,"Conroy, Pat",Versal,es,9788486717292
503,Los turistocratas,"Daninos, Pierre",DOPESA,es,9788472352162
504,Memorias de guerra. La unidad (1942-1944),"Gaulle, Charles De","G. P., ediciones",es,
505,KG 200,"Gilman, J. D.; Clive, John",Pan,es,9780330253581
506,The Palace Diaries,"Goodall, Sarah; Monson, Nicholas",Mainstream Publishing,en,9781845961886
507,Actividades para un joven naturalista,"Graham, V. E.",Adara,es,9788438500422
508,Don Camilo,"Guareschi, Giovanni",Planeta,es,9788432013782
509,La ruta sangrienta,"Hassel, Sven",Plaza & Janés,es,9788401929090
510,The Rawhider,"Heckelmann, Charles N.",Fawcett Popular Library,en,9780445041400
511,Entre dos patrias,"D'Izieu, Jean; Sabathier, Michel",Mensajero,es,
512,Querido Tim,"Kurtz, Carmen","SM, ediciones",es,9788434812246
513,Llovida del cielo,"Kyne, Peter B.",Juventud,es,
514,Papá pisa las tablas,"Louki, Pierre",Alfaguara,es,---
515,Doble imagen,"MacInnes, Helen",Bruguera,es,
516,La camisa del revés,"Martin, Andreu",Ultramar,es,9788473863353
517,Miguelón,"Moix, Ana María",Anaya,es,9788475253565
518,Don Juan. Tartufo,Molière,Altaya,es,9788448715724
519,Del ático al entresuelo,"Padilla, Pedro Pablo",Planeta,es,
520,El presidente,"Pearson, Drew","Martínez Roca, ediciones",es,9788427002258
521,Las enfermedades del amor,"Pinillos, Isabel; Herrero, Miguel Gª",Index,es,9788470872983
522,"Mujeres de blanco. Proyecto Hermes. Jezabel, el precio del pecado","Slaughter, Frank G.",Caralt,es,9788421710524
523,La flecha negra,"Stevenson, Robert Louis",Espasa,es,9788423970766
524,Rafael de Trabazos,"Suárez, Rosa Mª",R.M.,es,9788440413215
525,El castillo de Noé,"Townsend, John R.","SM, ediciones",es,9788434808355
526,Topaz,"Uris, Leon",Bruguera,es,
527,Biblioteca de Selecciones. Libros escogidos,"Varios (Dorothy Uhnak, Hans Hellmut Kirst, Eulalia Galvarriato, Camilo José Cela, Taylor Caldwell)",Selecciones del Reader's Digest,es,
528,El mundo de la opera. Vol. II. Un divertimento cortesano,Varios,"Tiempo, ediciones",es,
529,El mundo de la opera. Vol. I. El descubrimiento italiano,Varios,"Tiempo, ediciones",es,
530,Fuenteovejuna. Peribañez,"Vega, Lope de",Taurus,es,
531,Belledonne habitación 16,"Vries, Anke de","SM, ediciones",es,9788434809239
532,Five Famous Fairy Tales,"West, Michael",Longman,en,9780582535213
533,The Lady from the Sea,"West, Michael",Longman,en,9780582534131
534,King Arthur and the Knights of the Round Table,"West, Michael",Longman,en,9780582534155
535,Nuestros mejores vinos. La guía 2006,Varios,Todovino the spanish wine shop,es,9788460975502
536,¿Dónde viviremos mañana?,"Ragon, Michel",Luis de Caralt,es,
537,La ley de Murphy del 2000,"Bloch, Arthur","Temas de Hoy, ediciones",es,9788478809851
538,Tócala otra vez,"Bogart, Stephen Humphrey","B, ediciones",es,9788440650399
539,La casona,"Bromfield, Louis",Planeta,es,
540,Top Model,"Campbell, Naomi","B, ediciones",es,9788440650337
541,Un hueso en la autopista,"Camus, William","SM, ediciones",es,9788434808348
542,Cela obras completas vol. 4 (El gallego y su cuadrilla y otros apuntes carpetovetónicos),"Cela, Camilo José",Destino,es,9788439514961
543,Papillon,"Charrière, Henri",Plaza & Janés,es,
544,The Psychic Pathway,"Choquette, Sonia",Three rivers press,en,9780517884072
545,Doña Berta y otros relatos,"Clarin, Leopoldo Alas",Salvat,es,
546,Soy la madre,"Conde, Carmen",Planeta,es,9788432055317
547,La rebel.lió dels conills mágics,"Dorfman, Ariel",Empúries,ca,
548,Lost in New York,"Escott, John",Penguin,en,9780582251762
549,Cuando duerma la bestia,"Marqués Estiguín, J. L.",J.L. Marqués Estiguín,es,9788440036735
550,Los perros de la guerra,"Forsyth, Frederick",Plaza & Janés,es,9788401301445
551,El Comunismo contado con sencillez,"Frutos, Francisco",MAEVA,es,9788495354433
552,El milagro solar de Fátima,"Haffert, John","Sol de Fátima, ediciones",es,
553,Flores para algernon,"Keyes, Daniel","Acervo, ediciones",es,9788470021770
554,Benicalaf,"Llueca Ubeda, Emilio",Confederación española de Cajas de Ahorros,es,9788475803593
555,La pasión del doctor Christian,"McCullough, Colleen",Plaza & Janés,es,9788401321733
556,No digas que fue un sueño,"Moix, Terenci",Planeta,es,9788432055911
557,Lucky Luke - Clasicos del comic,Morris; Goscinny,Clásicos del cómic,es,9788496389113
558,Una derrota bastante honrosa,"Murdoch, Iris",Planeta,es,9788408462286
559,Sangre de amor correspondido,"Puig, Manuel",Planeta,es,9788408462200
560,El cercle màgic. Volum I,"Puig i Ferreter, Joan",Edicions Proa,ca,
561,Si vas para Chile,"Sáenz, Miguel","Marte, ediciones",es,9788472491298
562,La locura de Finn,"Southall, Ivan","SM, ediciones",es,9788434812611
563,Rascacielos,"Stern, Richard Martin",Círculo de Lectores,es,9788422606291
564,"Un vago, dos vagos, tres vagos","Wyoming, El Gran","Temas de Hoy, ediciones",es,9788484600527
565,Historia de la gente,"Mingote, Antonio",Taurus,es,
566,Manual de alteraciones esqueléticas en pequeños animales,Varios,"S, ediciones",es,9788487736728
567,Arturo y Clementina,"Turin, Adela; Bosnia, Nella",Lumen,es,9788426435699
568,Arte del mundo moderno. Del neoclásico al pop art,"Munari, Carlo",Teide,es,9788430783045
569,El libro de Saladino II,"Alí, Tariq",RBA,es,
570,"Octubre, octubre. Volumen II","Sampedro, José Luis",Bibliotex El Mundo,es,9788481303377
571,Divina Comedia II,"Alighieri, Dante","Orbis, ediciones",es,9788475301426
572,Don Quijote de la Mancha. Parte I,"Cervantes Saavedra, Miguel de",Bibliotex,es,9788481301090
573,National Gallery,Varios,Espasa,es,9788467438048
574,Baby signos,"Carter, Claudia",Cincodeditos,es,9788461497515
575,Leyendas amazónicas,"Jordana Laguna, Jose Luis",Doncel,es,9788432505607
576,1706. La guerra de successió a Vila-Real,"Pitarch Font, Antoni",Ajuntament de Vila-real,es,9788488331908
577,Tragasueños,"Ende, Michel; Fuchshuber, Annegert",Juventud,es,9788426117403
578,Petite soeur,"Macdonald, Patricia",Editions Albin Michel,fr,9782253076674
579,La momie du Louvre,"Boutégège, Règine; Longo, Susanna","Vicens Vives, ediciones",fr,9788431639631
580,Mikado Initiation. Livre de l'élève,"Palomino, Marie",Oxford University Press,fr,9788467306798
581,Mikado Initiation. Cuaderno de actividades,"Palomino, Marie",Oxford University Press,fr,9788467301236
582,Mikado Élémentaire. Livre de l'élève,"Palomino, Marie",Oxford University Press,fr,9788467307375
583,Mikado Élémentaire. Cuaderno de actividades,"Palomino, Marie",Oxford University Press,fr,9788467304152
584,Galipette Initiation: Livre de l'élève,"Palomino, Marie",Oxford University Press,fr,9788467350104
585,Galipette Initiation. Cahier d'activités. Consignes en français,"Palomino, Marie",Oxford University Press,fr,9788467351170
586,Galipette Initiation. Matériel du professeur,"Palomino, Marie",Oxford University Press,fr,9782220011127
587,Galipette Élémentaire. Cuaderno de actividades. Consignas en español,"Palomino, Marie",Oxford University Press,fr,9788467351613
588,Enciclopedia Salvat de la fauna no. 17: Eurasia/Norteamérica,"Rodríguez de la Fuente, Félix",Salvat,es,9788434556515
589,Accés Studio. Pupil book,"Wardle, Michael",Heinemann,en,9780435027223
590,La Atlántida,"Ashe, Geoffrey",Debate,es,9788474447118
591,Ferran Adrià,"Adrià, Ferran",El País,es,9788498158540
592,En forma con frutas y verduras,Varios,Tiempo Libre,es,9788486061142
593,Filatelia. Coleccionismo-Hobby-Inversión,"Martínez-Fornaguera, Alejandro",Teide,es,9788430782857
594,"Sendas del te. Leyenda, historia, cultivo y consumo","Serrat Crespo, Manuel",CPC España,es,9788485256570
595,Revista Mundial 1983,Varios,Alpha,es,9788472252660
596,Enid Blyton's Nature Lover's Book,"Blyton, Enid",Evans Brothers Limited,en,
597,Las aves y sus secretos. Un gran libro de preguntas y respuestas,"Grange, Francois de la; Reille, Antoine",FHER,es,9788424311575
598,Girl Power! (¡El poder de las chicas!),Spice Girls,"B, ediciones",es,9788440675576
599,Son of Stone,"Woods, Stuart",G. P. Putnam's Sons,en,9780399157653
600,The New Cambridge English Course. Practice 4,"O'Sullivan, Desmond; Swan, Michael; Walter, Catherine",Cambridge University Press,en,9780521376525
601,Historias del viejo mundo no. 3. El hombre paleolítico,"Moure Romanillo, Alfonso",Historia 16,es,9788476791011
602,Les 1000 immanquables du 20e siècle,Varios,Larousse,fr,9782035050380
