No,Titulo,Autor,Editorial,Idioma,ISBN13
603,Letras de España 1986,Varios,Ministerio de Cultura,es,
604,What is Migration?,"Crossingham, John; Kalman, Bobbie",Crabtree Publishing Company,en,9780865059658
605,Asesinato de calidad. Club del misterio no. 18,"Carre, John le",Bruguera,es,9788402081537
606,Consejos y platos para cuidar el corazón,"Fuster, Valentín",Zinet Media Group,es,
607,Tony Stone Images 1998: Wild,Varios,Fototeca Stone,es,
608,Zona abierta no. 9/10,Varios,Closas-Orcoyen,es,
609,Zona abierta no. 12,Varios,Closas-Orcoyen,es,
610,Alfabet,"Boix, M.; Palàcios, J.",Edicions de L'Ajuntament de L'Alcúdia,ca,
611,Guías de psicologia del bebe y del niño,,Sfera editores,es,9788496732285
612,Museo Picasso Barcelona,"Subirana, Rosa María","Orgaz, ediciones",es,9788485407217
613,Sauver les océans,"MacInnis, Joseph",Éditions du Trécarré,fr,9782892494655
614,Lola Montes,"Ada, Antoine de","Rodegar, ediciones",es,
615,Cancionero y romancero español,"Alonso, Damaso",Salvat,es,9788434580343
616,Las mil y una noches,Anónimo,J. Perez del Hoyo,es,
617,Relatos de robots,"Asimov, Isaac",Unidad editorial,es,9788481300277
618,Leyendas de Guatemala,"Asturias, Miguel Angel",Salvat,es,9788434580398
619,Herzog,"Bellow, Saul",Círculo de Lectores,es,9788422624875
620,Los intereses creados,"Benavente, Jacinto",Espasa-Calpe,es,
621,La vuelta al mundo de un novelista. Tomo III,"Blasco Ibáñez, Vicente",Prometeo,es,
622,La araña negra. Vol. I y II,"Blasco Ibáñez, Vicente",A.T.E.,es,9788485047598
623,Narraciones,"Borges, Jorge Luis",Salvat,es,9788434580190
624,Mala gente,"Bruno, Anthony",Planeta,es,9788432072444
625,Mrs. Caldwell habla con su hijo,"Cela, Camilo José",Salvat,es,9788434580091
626,Narraciones,"Chejov, Anton P.",Salvat,es,
627,Los oficios,Ciceron,Espasa-Calpe,es,
628,Doña Berta y otros relatos,"Clarin, Leopoldo Alas",Salvat,es,9788434580374
629,Un grito en la noche,"Clark, Mary Higgins",Círculo de Lectores,es,9788422616986
630,El Vals Inacabado,"Clément, Catherine",Martínez Roca,es,
631,Maridos de Hollywood,"Collins, Jackie",Plaza & Janés,es,9788401494529
632,Hora punta,"Collins, Joan","B, ediciones",es,9788440603746
633,Rayuela,"Cortázar, Julio",Seix Barral,es,9788432221552
634,La isla a mediodía y otros relatos,"Cortázar, Julio",Salvat,es,9788434580138
635,La Bella Otero,"Costa Clavell, Javier","Rodegar, ediciones",es,
636,Las crónicas del Sochantre,"Cunqueiro, Alvaro",Salvat,es,9788434580381
637,La hoja roja,"Delibes, Miguel",Salvat,es,9788434580077
638,La hoja roja,"Delibes, Miguel",Salvat,es,
639,Son mis amores reales,"Dicenta (hijo), Joaquin",Cisne,es,
640,El jugador,"Dostoievski, Fedor",Salvat,es,9788434580084
641,El jugador,"Dostoievski, Fedor",Salvat,es,
642,Justine - El Cuarteto de Alejandria I,"Durrell, Lawrence",EDHASA,es,9788435015523
643,El séptimo santuario,"Easterman, Daniel",Planeta,es,9788432046971
644,Mano a mano con papá,"Faucher, Elizabeth","B, ediciones",es,9788440649522
645,Los invictos,"Faulkner, William",Bruguera,es,9788402076991
646,Industrias y andanzas de Alfanhui,"Sánchez Ferlosio, Rafael",Salvat,es,9788434580251
647,Industrias y andanzas de Alfanhui,"Sánchez Ferlosio, Rafael",Salvat,es,9788434580251
648,La dama del armiño,"Fernández Ardavín, Luis","Alfil, ediciones",es,
649,Teatro completo,"Fernández de Moratín, Leandro",Bruguera,es,
650,La muerte de Artemio Cruz,"Fuentes, Carlos",Salvat,es,9788434580336
651,Versos de mi ciudad,"Gagliardi, Hector",Julio Korn,es,
652,"Manual de diagnóstico de laboratorio en pequeños animales, 2ª edición","Villiers, Elizabeth; Blackwood, Laura (Eds.)","S, ediciones",es,9788487736698
653,Acapulco,"Garibay, Ricardo",Grijalbo,es,
654,La chica del tambor,"Carre, John le",Planeta,es,9788432082016
655,Werther,"Goethe, J. W.",Salvat,es,9788434580121
656,Ultima llamada,"Gonzalez de la Garza, Mauricio",Edamex,es,9789684091061
657,El Jardín de las Mentiras,"Goudge, Eileen",Plaza & Janés,es,9788401491795
658,El fin de la aventura,"Greene, Graham","Revista Sur, ediciones",es,
659,El que pierde gana,"Greene, Graham","Revista Sur, ediciones",es,
660,El reves de la trama,"Greene, Graham","Revista Sur, ediciones",es,
661,La coartada perfecta,"Highsmith, Patricia",Unidad editorial,es,9788481300055
662,Prohibido a los nerviosos,Varios,Planeta/Bruguera,es,9788432082283
663,La luna del Cazador,"Holt, Victoria",Planeta,es,9788432037764
664,La Ilíada,Homero,Espasa-Calpe,es,
665,La hora mágica,"Isaacs, Susan","B, ediciones",es,9788440625458
666,Ulises I,"Joyce, James",Seix Barral,es,9788432220111
667,La metamorfosis,"Kafka, Frank",Salvat,es,9788434580176
668,Misery,"King, Stephen",Plaza & Janés,es,9788401322563
669,Los hermanos de Mowgli,"Kipling, Rudyard",Unidad editorial,es,9788481300529
670,Susrros,"Koontz, Dean R.",Plaza & Janés,es,9788401495434
671,Un Casamiento Convencional,"Lessing, Doris",Argos Vergara,es,9788470177200
672,Un Casamiento Convencional,"Lessing, Doris",Argos Vergara,es,9788470177200
673,los Hijos de Sánchez,"Lewis, Oscar",Grijalbo,es,9789684192461
674,La progresión de Aquitania I y II,"Ludlum, Robert",Planeta,es,9788432082634
675,Antología,"Machado, Antonio",Salvat,es,9788434580169
676,Mesalina,"Maclean, Helen H.","Rodegar, ediciones",es,
677,El conde lucanor,"Juan Manuel, Infante Don",Espasa-Calpe,es,
678,Una chica traviesa,"Marshall, Bruce",Plaza & Janés,es,9788401909665
679,El médico aconseja,"Mascaro Porcar, Jose Mª",Salvat,es,
680,Benito Cereno,"Melville, Herman",Salvat,es,9788434580282
681,El ricachon en la corte y el enfermo de aprensión,Molière,Espasa-Calpe,es,
682,Nueva grandeza mexicana,"Novo, Salvador",Espasa-Calpe,es,
683,Cien obras maestras de la pintura,"Olivar, Marcial",Salvat,es,9788434580053
684,El espectador,"Ortega y Gasset, Jose",Salvat,es,9788434580671
685,Virgen,"Patterson, James",Círculo de Lectores,es,9788422615484
686,El diablo sobre las colinas,"Pavese, Cesare",Salvat,es,9788434580183
687,Humanidad prehistórica,"Pericot, Luis; Maluquer de Motes, Juan",Salvat,es,9788434580237
688,Los buscadores de conchas,"Pilcher, Rosamunde",RBA,es,9788447318070
689,La chica del tiempo,"Piquer, Eva","SM, ediciones",es,9788434873025
690,Un viaje frustrado. Contrabando,"Pla, José",Salvat,es,9788434580145
691,Narraciones extraordinarias,"Poe, Edgar Alan",Salvat,es,
692,Fuente Ovejuna,"Vega, Lope de",Cátedra,es,9788437602738
693,El Caballero de Olmedo,"Vega, Lope de",Cátedra,es,9788437603094
694,Eloisa esta debajo de un almendro,"Jardiel Poncela, Enrique",Salvat,es,
695,Poemas satíricos,"Quevedo, Francisco de","Nauta, ediciones",es,9788427808997
696,El dios mas pequeño y otros relatos,"Rey, Lester del","Martínez Roca, ediciones",es,9788427005440
697,La revolución mexicana,"Ricciu, Francesco",Bruguera,es,9788402005878
698,Los cazadore de focas de la bahia de Baffin,"Salgari, Emilio",Unidad editorial,es,9788481300482
699,La Casa de las Chivas,"Salom, Jaime",Escelicer,es,
700,Érase una vez Don Quijote,"Sánchez Aguilar, Agustín","Vicens Vives, ediciones",es,9788431678494
701,El corredor de las tormentas,"Sarabande, William",Maeva ediciones,es,9788486478513
702,El bandido adolescente,"Sender, Ramon J.",Salvat,es,9788434580329
703,La gran pesquisa,"Sharpe, Tom",Anagrama,es,9788433966131
704,El Don apacible,"Shókolov, Mijaíl",RBA,es,9788498675245
705,Mística y misterio de los OVNIS,"Silva, José Antonio",Círculo de Lectores,es,9788422623144
706,"Ayax, Antigona. Edipo Rey",Sófocles,Salvat,es,
707,El perfume,"Süskind, Patrick",Seix Barral,es,9788432223464
708,Fantasmas,"Straub, Peter",Plaza & Janés,es,9788401494239
709,La cabeza perdida de Damasceno Monteiro,"Tabucchi, Antonio",Anagrama,es,9788433967053
710,El visitante y otras historias,"Thomas, Dylan",Bruguera,es,9788402079701
711,El vergonzoso en palacio. El burlador de Sevilla,"Molina, Tirso de",EDAF,es,
712,"Guerra y paz, 2","Tolstoi, Leon",Alianza editorial,es,9788420649320
713,Y Tierno galván ascendió a los cielos,"Umbral, Francisco",Seix Barral,es,9788432206191
714,Las palabras de la tribu,"Umbral, Francisco",Planeta,es,9788408011026
715,La tía Tula,"Unamuno, Miguel de",Salvat,es,9788434580046
716,Amor y pedagogía,"Unamuno, Miguel de",Espasa-Calpe,es,9788423901418
717,Paz en la guerra,"Unamuno, Miguel de",Espasa-Calpe,es,9788423901791
718,Tres novelas ejemplares y un prólogo,"Unamuno, Miguel de",Espasa-Calpe,es,
719,Juanita la larga,"Varela, Juan",Salvat,es,9788434580114
720,Luces de bohemia,"Valle-Inclan, Ramón del",Espasa-Calpe,es,9788423995875
721,Tirano banderas,"Valle-Inclan, Ramón del",Espasa-Calpe,es,9788423920020
722,Sonata de primavera,"Valle-Inclan, Ramón del",Salvat,es,
723,La casa verde,"Vargas Llosa, Mario",Argos Vergara,es,9788470176807
724,Los cachorros. El desafío del domingo,"Vargas Llosa, Mario",Salvat,es,9788434580305
725,Grandes autores en libros pequeños,Varios,Planeta,es,
726,Traducción del nuevo mundo de las santas escrituras,Varios,Watchtower Bible and Tract Society of New York,es,
727,El grupo poético de 1927. Antología por Angel González,"González, Angel",Taurus,es,9788430640966
728,Antología general de la poesía mexicana (siglos XVI al XX),Varios,Bruguera,es,
729,El escriba sentado,"Vázquez Montalbán, Manuel",Crítica (Grijalbo Mondadori),es,9788474238204
730,Los hijos del capitán Grant en Australia,"Verne, Julio",RBA,es,9788447332335
731,20.000 leguas de viaje submarino,"Verne, Julio",Bruguera,es,
732,Viaje al centro de la Tierra,"Verne, Julio",El Mundo,es,9788481301885
733,Pájaro de celda,"Vonnegut, Kurt",Argos Vergara,es,9788470179327
734,Presunto heredero,"Wade, Henry","Picazo, ediciones",es,9788436101096
735,Ben-Hur,"Wallace, Lewis",Anaya,es,9788420739526
736,Las dos ancianas,"Wallis, Velma","B, ediciones",es,9788440661715
737,La máquina del tiempo,"Wells, H. G.",Bruguera,es,9788402078223
738,Fan Club,"Wallace, Irving",Planeta/Grijalbo,es,9788432082115
739,Relatos,Stendhal,Salvat,es,9788434580220
740,Las aventuras de Tom Sawyer,"Twain, Mark",Salvat,es,
741,Calidoscopio,"Steel, Danielle",Planeta DeAgostini,es,9788439590378
742,Incordie a Jack Barron,"Spinrad, Norman","Acervo, ediciones",es,9788470021848
743,off-side,"Torrente Ballester, Gonzalo",Destino,es,9788423311033
744,Llamada mortal II,"Stine, R. L.","B, ediciones",es,9788440677020
745,Bajo el agua,"Winthrop, Joan",Plaza & Janés,es,9788401460487
746,El pianista del gueto de Varsovia,"Szpilmnan, Wladyslaw",Turpial - Amaranto,es,9788492160587
747,Un yanqui en la corte del Rey Arturo,"Twain, Mark",Anaya,es,9788420733531
748,Teresa Raquin,"Zola, Émile","Alonso, ediciones",es,9788437100937
749,La conjura de los necios,"Toole, John Kennedy",Anagrama,es,9788433930149
750,La mafia,"Sondern, Frederick",Bruguera,es,
751,Autobiografía,"Twain, Mark",Espasa,es,9788467014006
752,"Tres novelas del Siglo de Oro: Lazarillo de Tormes, La vida del Buscón y El Diablo Cojuelo","Varios: Anónimo, Francisco de Quevedo, Vélez de Guevara",Planeta,es,9788432065330
753,Puerto Vallarta,"Waller, Robert J.",Plural,es,9788441313774
754,Los manuscritos de Magdala,"Wood, Barbara",RBA,es,9788447318575
755,Germinal,"Zola, Émile","Torre, ediciones de la",es,9788479600662
756,El rito,"García Blázquez, José Antonio","Destino, Ediciones",es,9788423308354
757,El ingenioso hidalgo Don Quijote de la Mancha,"Cervantes Saavedra, Miguel de",Espasa-Calpe,es,
758,Novelas ejemplares,"Cervantes Saavedra, Miguel de",Espasa-Calpe,es,
759,Así vivían en Babilonia,"Lara Peinado, Federico",Anaya,es,9788420734439
760,El ídolo de silicio,"Shallis, Michael",Salvat,es,9788434583962
761,El panorama inesperado,"Trefil, James S.",Salvat,es,9788434583771
762,Las raíces de la vida,"Hoagland, M.",Salvat,es,9788434583689
763,El telar mágico,"Jastrow, Robert",Salvat,es,9788434583665
764,El aire en peligro,"Breuer, Georg",Salvat,es,9788434584167
765,Tecnologías alternativas,"Dickson, David","Orbis, Ediciones",es,9788476342077
766,El medio ambiente,"George, Pierre","Orbis, Ediciones",es,9788476344156
767,La polución atmosférica,"Chovin, Paul; Roussel, André","Orbis, Ediciones",es,9788476345238
768,La mente humana,"Rayner, C.","Orbis, Ediciones",es,9788476341483
769,"El cuerpo humano, Vol. I y II","Leakey, Richard E./Rayner, C.","Orbis, Ediciones",es,MAL
770,"La formación de la humanidad, Vol. I y II","Rayner, C.","Orbis, Ediciones",es,9788476341735
771,"Exploración del espacio, Vol. I, II, III y IV","Gatland, Kenneth y otros","Orbis, Ediciones",es,9788476340011
772,"El libro del clima, Vol. I, II y III","Hardy, R.; Wright, P.; Gribbin, J.; Kington, J.","Orbis, Ediciones",es,9788476344507
773,"El hombre al desnudo, Vol. I, II, III y IV","Morris, Desmond","Orbis, Ediciones",es,9788476344903
774,"Libro básico del ordenador personal, Vol. I, II y III","Rodwell, Peter","Orbis, Ediciones",es,9788476346471
775,"El hombre futuro. ¿Un mundo feliz o una pesadilla genética?, Vol. I y II.","Stableford, Brian","Orbis, Ediciones",es,9788476348284
776,"La ciencia en la ciencia ficción, Vol. I y II.","Langford, David; Stableford, Brian","Orbis, Ediciones",es,9788476349151
777,60 respuestas a las 60 eternas preguntas del escritor novel,"Rivadeneyra, Ariel",Planeta,es,
778,"Robinson Crusoe, Volumen I","Defoe, Daniel",Lumen,es,9788426443663
779,El cartero del rey. El asceta. El rey y la reina,"Tagore, Rabindranaz",Alianza Editorial,es,9788420619408
780,Flair Collection: Cover Girls. Model Flirt. Fashion Victim,"William, Kate; Pascal, Francine",Bantam Books,en,9780553812817
781,Las aventuras de Tom Sawyer y otras obras,"Twain, Mark",Grafalco,es,9788477731641
782,Mi vida,"Duncan, Isadora",Salvat,es,9788434591400
783,Pau Casals,"Baldock, Robert",Salvat,es,9788434591417
784,Cleopatra,"Bradford, Ernle",Salvat,es,9788434591172
785,Marx,"Blumenberg, Werner",Salvat,es,9788434591493
786,Gaudí,"Bassegoda Nonell, Juan",Salvat,es,9788434591509
787,Beethoven,"Scott, Marion M.",Salvat,es,9788434591516
788,Colón,"Voltes, Pedro",Salvat,es,9788434591547
789,Maquiavelo,"Barincou, Edmond",Salvat,es,9788434591554
790,Maquiavelo,"Barincou, Edmond",Salvat,es,9788434591554
791,Pánico en la nieve,"Stine, R. L.","B, ediciones",es,9788440662262
792,Prisionero del Río Negro,"Surget, Alain",Everest,es,9788424131722
793,Expecting the Impossible,"Leonard, Christine",Scripture union,en,9780862017903
794,Las mujeres sabias. El avaro. El burgues gentilhombre. El enfermo de aprension. Las preciosas ridiculas. Tartufo. El medico a palos.,Moliere,Bruguera,es,
795,Dallas,"Raintree, Lee",Plaza & Janés,es,9788401303081
796,Las ciudades del antiguo México,"Sabloff, Jeremy A.","Destino, Ediciones",es,9788423320646
797,"El hombre, animal cibernético","Sapárina, Yelena",Planeta,es,
798,El ingenioso hidalgo Don Quijote de la Mancha,"Cervantes Saavedra, Miguel de",Susaeta ediciones,es, 9788430570287
799,Sus mejores versos. Miguel de Cervantes Saavedra,"Cervantes Saavedra, Miguel de",,es,
800,My Life on a Plate,"Knight, India",Penguin Books,en,9780140281873
801,Los vinos de España,"Torres, Miguel A. ","Castell, ediciones",es,9788474893281
802,Peonza. Álbum II. # 120,Varios,Asociación cultural Peonza,es,
803,Peonza. El Arte y el Álbum Ilustrado. # 75/76,Varios,Asociación cultural Peonza,es,
804,"Gran crónica de la segunda guerra mundial, Tomos I, II y III",Varios,Selecciones del Reader's Digest,es,
805,Holiday with the Fiend,"Lavelle, Sheila",HarperCollins Publishers,en,9780006727873
806,Across the barricades,"Lingard, Joan",Puffin books,en,9780140306378
807,Your code name is Jonah,"Packard, Edward",Bantam books,en,9780553231823
808,A narrow Squeak and other animal stories,"King-Smith, Dick",Puffin books,en,9780140349634
809,The house at Pooh Corner,"Milne, A. A.",Methuen Children's Books,en,9780416225709
810,In Natalie's Garden,"Mayne, William",Walker books,en,9780744563931
811,The Butterfly Lion,"Morpurgo, Michael",Collins Children's Books,en,9780006751038
812,The Worst Witch,"Murphy, Jill",Puffin books,en,9780140311082
813,The Worst Witch All at Sea,"Murphy, Jill",Puffin books,en,9780140343892
814,The Worst Witch Strikes Again,"Murphy, Jill",Puffin books,en,??
815,A bad spell for the worst Witch,"Murphy, Jill",Puffin books,en,9780140314465
816,Me and My Mates,"Macfarlane, Aidan; mcPherson, Ann",Pan books,en,9780330316156
817,We like to help,"Murray, William",Ladybird books,en,9780721405421
818,Jump from the sky,"Murray, William",Ladybird books,en,9780721400211
819,Sunny days,"Murray, William",Ladybird books,en,9780721405544
820,The Railway Children,"Nesbit, Edith",Oxford University press,en,9780194230131
821,Drogas mentales. El desafío de la química a la psicoterapia,"Battista, O. A. ","Herrero Hermanos, sucesores",es,
822,Usted puede sanar su vida,"Hay, Louise L.","Urano, ediciones",es,9788486344658
823,Así son las drogas,"Leigh, Vanora",Dictext,es,9788488171016
824,Yoga en 10 lecciones,"Roumanes, Jean-Pierre",Cantabrica,es,9788422104032
825,El poder de los alimentos que curan,"Ryman, Danièle",Tikal ediciones,es,9788430582808
826,La homeopatía,"Ullman, Dana","Martínez Roca, ediciones",es,9788427014121
827,Salud total en 8 semanas,"Weil, Andrew",Urano,es,9788479531959
828,Until I find you,"Irving, John",Bloomsbury,en,9780747579908
829,Dawson's Creek. Shifting Into Overdrive,"Anders, C. J. ",Channel 4 books (Macmillan Publishers),en,9780671024765
830,Dawson's Creek. Too Hot to Handle,"Anders, C. J. ",Channel 4 books (Macmillan Publishers),en,9780752271521
831,Dawson's Creek. Double exposure,"Anders, C. J. ",Channel 4 books (Macmillan Publishers),en,9780752213989
832,Dawson's Creek. Don't Scream,"Anders, C. J. ",Channel 4 books (Macmillan Publishers),en,9780752271514
833,Dawson's Creek. Trouble in Paradise,"Anders, C. J. ",Channel 4 books (Macmillan Publishers),en,9780752218755
834,Dawson's Creek. Long Hot Summer,"Rodriguez, K. S. ",Channel 4 books (Macmillan Publishers),en,9780752213729
835,Dawson's Creek. Major Meltdown,"Rodriguez, K. S. ",Channel 4 books (Macmillan Publishers),en,9780752213972
836,Dawson's Creek. The Beginning of Everything Else,"Baker, Jennifer; Williamson, Kevin",Channel 4 books (Macmillan Publishers),en,9780752213446
837,Notting Hill,"Curtis, Richard",Hodder & Stoughton,en,9780340738443
838,Two for Joy,"Scanlan, Patricia",Bantam Press,en,9780593053003
839,Rocky Romance,"Wyeth, Sharon Dennis",Bantam books,en,9780553269482
840,Sugar and Spice,"Wright, Mary",Puffin books,en,9780140329704
841,How to Train your Parenys,"Johnson, Pete",Corgi Yearling Books,en,9780440864394
842,The Woman Who Disappeared,"Prowse, Philip",Heinemann Educational Books,en,9780435270117
843,Funhouse,"Hoh, Diane",Scholastic publications,en,9780590765329
844,Alfred Hitchcock and The Three Investigators in The Secret of The Haunted Mirror,"Carey, M. V. ",Armada,en,
845,…and Freedom (Sugar Secrets),"Sparke, Mel",Collins,en,9780006754428
846,Nancy Drew. Runaway Bride,"Keene, Carolyn",Pocket Books,en,9780671028886
847,The Whizzkid's Handbook 3,"Eldin, Peter",Armada,en,9780006921653
848,Batman,"Gardner, Craig Shaw",Futura,en,9780708843505
849,The Truth About Ryan. Sweet Valley University (Francine Pascal),"John, Laurie",Bantam Books,en,9780553570557
850,The Boys of Summer. Sweet Valley University (Francine Pascal),"John, Laurie",Bantam Books,en,9780553570564
851,Sweet Valley Twin Collection 2: If Looks Could Kill/ The Boyfriend Game/ The Boyfriend Mess,"Suzanne, Jamie",Bantam Books,en,9780553506815
852,Closing,"Fairbairns, Zoë",Methuen,en,9780413146908
853,The Queen of Spades and Other Stories,"Pushkin, Alexander",Penguin Books,en,9780140441192
854,Hold the Dream,"Bradford, Barbara Taylor",Grafton Books,en,9780586058497
855,The Window,"Ellis, Carol",Hippo,en,9780590551403
856,Pony in the Porch,"Daniels, Lucy",Hodder Children's Books,en,9780340607718
857,Wide Range Readers Green Book 5,"Schonell, Fred J.; Flowerdew, Phyllis",Oliver & Boyd,en,9780050037539
858,Starlight City,"Welford, Sue",Oxford University Press,en,9780192750419
859,Chocolat,"Harris, Joanne",Black Swan,en,9780552998932
860,The Pearl,"Steinbeck, John",Heinemann Educational Books,en,9780435270070
861,Moon Island,"Thomas, Rosie",Arrow Books,en,9780749323424
862,The Siege,"Dunmore, Helen",Penguin Books,en,9780141000732
863,Les belles images,"Beauvoir, Simone de",Gallimard,fr,9782070362431
864,Le deuxième sexe I y II,"Beauvoir, Simone de",Gallimard,fr,9782070323517 y  9782070323524
865,Tanguy,"Castillo, Michel del",Gallimard,fr,9782070400911
866,L'Étranger,"Camus, Albert",Gallimard,fr,9782070306022
867,Noces/L'été,"Camus, Albert",Gallimard,fr,
868,Les aventures de Flosco,"Bourliaguet, Léonce",Magnard jeunesse,fr,9782210988057
869,The Lady from the Sea and other Celtic Stories,"West, Michael; Miller, Margaret J.",Longman,en,9780582534131
870,Pokémon. Return of the Squirtle Squad,"West, Tracey",Scholastic Children's Books,en,9780439154291
871,An Inspector Calls,"Priestley, J. B.",Heinemann,en,9780435232825
872,Dinosaur Pox,"Strong, Jeremy",Puffin Books,en,9780140389791
873,Goosebumps. How to kill a monster,"Stine, R. L.",Scholastic Children's Books,en,9780590196451
874,Seven,"Bruno, Anthony",Penguin Books,en,9780140816389
875,The Secret of the Sword,"Daly, Audrey",Ladybird Books,en,9780721409788
876,The Prince and the Pauper,"Twain, Mark",Longman,en,9780582534223
877,The Invisible Man (simplified edition),"Wells, H. G.",Longman,en,9780582275133
878,The Masked Prisoner,"Furneaux, Rupert",Macdonald,en,9780356062716
879,Tom-Tom et Nana: Ça va chauffer!,"Cohen, Jacqueline; Reberg, Evelyne",Bayard editions,fr,9782227731165
880,Les petites Crapules,"Garth, Tony",Mango Jeunesse,fr,9782740414064
881,Une vague d'amour sur un lac d'amitié,"Desplechin, Marie",l'école des loisirs,fr,9782211040419
882,Le dernier dragon,"Bory, Jean-François",l'école des loisirs,fr,9782211040327
883,Engines. Progress and Power,"Rogers, Don E.",Whitman,en,
884,Jack Russell Jackson,"Muir, Helen",Victor Gollancz Ltd.,en,9780575032309
885,Project Omega,"O'Reilly, Elaine",Longman,en,9780582064515
886,Pokémon. Journey to the Orange Islands,"West, Tracey",Scholastic Children's Books,en,9780439169424
887,Pabluras,"Fernández de Velasco, Miguel Martín",Noguer,es,9788427931466
888,Manual del padre,"Breinholst, Willy",Plaza & Janes,es, 9788401350849
889,l'insolence de sa beauté,"Des Cras, Guy",Flammarion,fr,
890,Around the World in Eighty Days,"Faraday, Joyce",ladybird Books,en,9780721407210
891,The Tiger,"Justice, jennifer; Graham, Allen",Piccolo Explorer Books,en,9780330256940
892,Poulette Douillette,"Clément, Claude; Desmoinaux, Christel",Albums Nathan,fr,9782092107980
893,La fugue,"Pommaux, Yvan",,,9782211048866
894,les Cinq et le rubis d'Akbar,"Voilier, Claude",Hachette,,9782010075025
